Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary,Ancestors
37311760,818965006,Avascular necrosis of tarsus,Clinical Finding,Standard,0,0,Condition,SNOMED,1
37311759,818966007,Avascular necrosis of metatarsal bone,Clinical Finding,Standard,0,0,Condition,SNOMED,1
37204089,787484007,Progressive avascular necrosis of lunate,Clinical Finding,Standard,0,0,Condition,SNOMED,1
37119142,724613001,Idiopathic aseptic osteonecrosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
37110379,724612006,Osteonecrosis due to and following renal dialysis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
37108886,1.56389E+16,Bilateral hips aseptic necrosis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
37108671,1.07784E+15,Aseptic necrosis of left medial femoral condyle,Clinical Finding,Standard,0,0,Condition,SNOMED,1
37108670,1.07783E+15,Aseptic necrosis of right medial femoral condyle,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4334637,430891006,Avascular necrosis of bone of hand,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4334636,430890007,Aseptic necrosis of metatarsal,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4312504,424105005,Aseptic necrosis of carpal bone,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4287786,397758007,Avascular necrosis of bone,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4236364,360466009,Avascular necrosis of lunate,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4225126,84775005,Acute necrosis of bone,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4195602,44113000,Juvenile osteochondrosis of radial head,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4179667,427887006,Aseptic necrosis of vertebral body,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4147656,268030004,Avascular necrosis of the medial femoral condyle,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4069528,203485003,Osteonecrosis in caisson disease,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4069527,203478002,Avascular necrosis of the talus,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4069310,203479005,Avascular necrosis of capitellum,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4069309,203476003,Avascular necrosis of the head of femur,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4068138,203480008,Avascular necrosis of lateral femoral condyle,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4067848,203486002,Osteonecrosis due to hemoglobinopathy,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4067775,203483005,Osteonecrosis caused by drug,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4067774,203482000,Idiopathic aseptic necrosis of bone,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4067772,203475004,Avascular necrosis of the head of humerus,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4006963,111255008,Avascular necrosis of the capital femoral epiphysis,Clinical Finding,Standard,0,0,Condition,SNOMED,1
3185323,7.39E+15,Osteonecrosis of distal femur,Clinical Finding,Standard,0,0,Condition,Nebraska Lexicon,1
3180593,9.81E+15,Avascular necrosis of humerus,Clinical Finding,Standard,0,0,Condition,Nebraska Lexicon,1
3179847,9.11E+15,Aseptic necrosis of distal tibia,Clinical Finding,Standard,0,0,Condition,Nebraska Lexicon,1
761203,1.56404E+16,Aseptic necrosis of bone of right hip,Clinical Finding,Standard,0,0,Condition,SNOMED,1
761202,1.56403E+16,Aseptic necrosis of bone of left hip,Clinical Finding,Standard,0,0,Condition,SNOMED,1
4326828,430889003,Aseptic necrosis of bone of upper limb,Clinical Finding,Standard,0,"2,151",Condition,SNOMED,1
4344387,240196003,Bone necrosis,Clinical Finding,Standard,0,"16,070",Condition,SNOMED,0
79121,43453000,Aseptic necrosis of talus,Clinical Finding,Standard,"2,092","2,092",Condition,SNOMED,1
137651,17926002,Aseptic necrosis of medial femoral condyle,Clinical Finding,Standard,"2,116","2,116",Condition,SNOMED,1
141673,83453001,Aseptic necrosis of head of humerus,Clinical Finding,Standard,"2,151","2,151",Condition,SNOMED,1
40480852,441809006,Aseptic necrosis of bone of jaw,Clinical Finding,Standard,"2,170","2,170",Condition,SNOMED,1
439120,29281007,Aseptic necrosis of head AND/OR neck of femur,Clinical Finding,Standard,"2,861","2,861",Condition,SNOMED,1
77650,398199007,Aseptic necrosis of bone,Clinical Finding,Standard,"4,680","16,070",Condition,SNOMED,1
