Id,Code,Name,Class,Standard Concept Caption,Domain,Vocabulary
45837229,552890903,dexamethasone .75mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45837127,552890582,dexamethasone 4mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45836258,548790003,dexamethasone .5mg/5mL ORAL ELIXIR,9-digit NDC,Non-Standard,Drug,NDC
45835739,545694728,"dexamethasone sodium phosphate 4mg/mL INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; INTRAVENOUS; SOFT TISSUE INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45835738,545694648,"dexamethasone sodium phosphate 4mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45835734,545693040,"dexamethasone sodium phosphate 4mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45834068,529590547,dexamethasone 4mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45834035,529590392,dexamethasone .75mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45833347,525840516,"dexamethasone sodium phosphate 10mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45833279,525840165,dexamethasone sodium phosphate 4mg/5mL INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; INTRAVENOUS INJECTION,9-digit NDC,Non-Standard,Drug,NDC
45832387,521250619,dexamethasone sodium phosphate 10mg/mL INTRAMUSCULAR INJECTION,9-digit NDC,Non-Standard,Drug,NDC
45831166,516550012,dexamethasone 4mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45827861,499990059,dexamethasone 4mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45827343,498840129,dexamethasone 6mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45827322,498840087,dexamethasone 4mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45827321,498840086,dexamethasone 1.5mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45827320,498840085,dexamethasone .75mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45827319,498840084,dexamethasone .5mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45826073,493490917,"dexamethasone sodium phosphate 4mg/mL INTRAVENOUS INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45826009,493490841,"dexamethasone sodium phosphate 4mg/mL INTRAMUSCULAR INJECTION, SOLUTION",9-digit NDC,Non-Standard,Drug,NDC
45820329,430630266,dexamethasone 2mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45814103,332610625,dexamethasone 4mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45811421,216950745,dexamethasone 2mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45811404,216950728,dexamethasone 1mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45811139,216950382,dexamethasone 4mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45811059,216950290,dexamethasone .75mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45809534,165900269,dexamethasone 4mg/1 ORAL TABLET,9-digit NDC,Non-Standard,Drug,NDC
45777121,N0000190437,"DEXAMETHASONE NA PHOSPHATE (PF) 10MG/ML INJ,SOLN",VA Product,Non-Standard,Drug,VA Product
45743669,62329020,Dexamethasone sodium phosphate 4mg/ml intra-artic injection,Gemscript,Non-Standard,Drug,Gemscript
45743668,62328020,Dexamethasone sodium phosphate iv 4mg/ml injection,Gemscript,Non-Standard,Drug,Gemscript
45743468,57986020,Decadron 4mg/ml Injection (MSD Thomas Morson Pharmaceuticals),Gemscript,Non-Standard,Drug,Gemscript
45743284,53177020,Oradexon-organon 2mg Tablet (Organon Laboratories Ltd),Gemscript,Non-Standard,Drug,Gemscript
45741721,57987020,Decadron 4mg/ml Injection (MSD Thomas Morson Pharmaceuticals),Gemscript,Non-Standard,Drug,Gemscript
45740535,71642020,Dexamethasone 100mg/5ml solution for injection vials,Gemscript,Non-Standard,Drug,Gemscript
45740147,62332020,Dexamethasone 20mg/ml shock pack,Gemscript,Non-Standard,Drug,Gemscript
45738960,78819020,Dexsol 2mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),Gemscript,Non-Standard,Drug,Gemscript
45738876,75320020,Dexamethasone 2mg/5ml oral solution sugar free,Gemscript,Non-Standard,Drug,Gemscript
45738361,62327020,Dexamethasone sodium phosphate 4mg/ml injection,Gemscript,Non-Standard,Drug,Gemscript
45738319,61132020,Dexamethasone 5mg/ml Injection (Organon Laboratories Ltd),Gemscript,Non-Standard,Drug,Gemscript
45738122,56573020,Oradexon-organon 4mg/ml Intraarticular injection (Organon Laboratories Ltd),Gemscript,Non-Standard,Drug,Gemscript
45737700,98827020,Dexamethasone 700microgram intravitreal implant with device,Gemscript,Non-Standard,Drug,Gemscript
45736934,71641020,Dexamethasone sodium phosphate 5mg/ml injection,Gemscript,Non-Standard,Drug,Gemscript
45736160,53490020,Dexamethasone 2mg tablets (Aspen Pharma Trading Ltd),Gemscript,Non-Standard,Drug,Gemscript
45736159,53489020,Dexamethasone 500microgram tablets (Organon Laboratories Ltd),Gemscript,Non-Standard,Drug,Gemscript
45735693,91780020,Dexamethasone 100microgram capsules,Gemscript,Non-Standard,Drug,Gemscript
45735649,89887020,Dexamethasone 4mg/1ml solution for injection ampoules,Gemscript,Non-Standard,Drug,Gemscript
45735222,75321020,Dexamethasone 2mg/5ml oral solution,Gemscript,Non-Standard,Drug,Gemscript
45734679,62321020,Dexamethasone 500microgram tablets,Gemscript,Non-Standard,Drug,Gemscript
45732819,61648020,Dexamethasone 4mg/ml Injection (Mayne Pharma Plc 1),Gemscript,Non-Standard,Drug,Gemscript
45732663,57978020,Decadron 500microgram tablets (Merck Sharp & Dohme Ltd),Gemscript,Non-Standard,Drug,Gemscript
45732004,89889020,Dexamethasone 8mg/2ml solution for injection vials,Gemscript,Non-Standard,Drug,Gemscript
45731531,74310020,Dexamethasone 2mg Tablet (Hillcross Pharmaceuticals Ltd),Gemscript,Non-Standard,Drug,Gemscript
45731035,62322020,Dexamethasone 2mg tablets,Gemscript,Non-Standard,Drug,Gemscript
45730866,58005020,Decadron shock pak 20 20mg/ml Shock pack (Merck Sharp / Dohme Ltd),Gemscript,Non-Standard,Drug,Gemscript
45708179,f740cac9-33ee-4223-b4ff-766f93c971b9,"Dexamethasone 2 mg in 1 mL INTRAMUSCULAR INJECTION, POWDER, FOR SOLUTION [DexaJect]",SPL,Non-Standard,Drug,SPL
45707272,cca2c160-9188-48e8-9505-49a52388dcb7,"DEXAMETHASONE SODIUM PHOSPHATE - dexamethasone sodium phosphate injection, solution",Prescription Drug,Classification,Drug,SPL
45706224,9b65a40c-aae9-49bd-9124-d8b950a6b60b,dexamethasone sodium phosphate 4 mg in 100 mL INTRAVENOUS INJECTION [DexaJect SP],SPL,Non-Standard,Drug,SPL
45705719,827ce261-307b-4398-8993-333c08e601fe,DEXAMETHASONE - dexamethasone tablet,Prescription Drug,Classification,Drug,SPL
45705496,7658e4b2-5b0d-487a-a603-8fd264cb02ea,DEXAMETHASONE - dexamethasone tablet,Prescription Drug,Classification,Drug,SPL
45702687,f8dcbed7-2d36-4d49-b443-a6edd0fb69c3,"NEOMYCIN AND POLYMYXIN B SULFATES AND DEXAMETHASONE - neomycin sulfate, polymyxin b sulfate and dexamethasone suspension",Prescription Drug,Classification,Drug,SPL
45702271,e5c28db5-efce-49a7-9e5f-12338d1f216b,DEXAMETHASONE - dexamethasone tablet,Prescription Drug,Classification,Drug,SPL
45702008,da9af3d2-c0fb-4e92-bb57-5e868d8c6696,"DEXAMETHASONE SODIUM PHOSPHATE - dexamethasone sodium phosphate injection, solution",Prescription Drug,Classification,Drug,SPL
45701908,d6113f31-01d7-4e98-9c2c-33bd2ea82f42,"Dexamethasone 2 mg in 1 mL INTRAMUSCULAR INJECTION, SOLUTION [Dexium]",SPL,Non-Standard,Drug,SPL
45701887,d51402de-6021-4dc0-86ed-328d159af4f8,DEXAMETHASONE SODIUM PHOSPHATE - dexamethasone sodium phosphate solution,Prescription Drug,Classification,Drug,SPL
45701134,b15200fb-1826-472b-a907-e677a272513b,DEXAMETHASONE - dexamethasone tablet,Prescription Drug,Classification,Drug,SPL
45700238,89e570c9-3e64-433b-9779-b94332f2b5ef,DEXAMETHASONE - dexamethasone tablet,Prescription Drug,Classification,Drug,SPL
45699126,556cffdd-5d80-486c-a3d4-af92effea298,"NEOMYCIN AND POLYMYXIN B SULFATES AND DEXAMETHASONE - neomycin sulfate, polymyxin b sulfate and dexamethasone suspension",Prescription Drug,Classification,Drug,SPL
45699078,537B424A-3E07-4C81-978C-1AD99014032A,DEXAMETHASONE - dexamethasone tablet,Prescription Drug,Classification,Drug,SPL
45698721,428cc7bb-e0f9-466c-b38f-11ac22cda752,DEXAMETHASONE - dexamethasone tablet,Prescription Drug,Non-Standard,Drug,SPL
45697685,13d9948e-1184-441e-8953-58881d1a91cb,"Dexamethasone 2 mg in 1 mL INTRAMUSCULAR INJECTION, SOLUTION [Dexasone]",SPL,Non-Standard,Drug,SPL
45697254,ff045cba-f55a-4368-8045-d783694adb85,"DEXAMETHASONE SODIUM PHOSPHATE - dexamethasone sodium phosphate injection, solution",Prescription Drug,Classification,Drug,SPL
45695771,bbd336f6-33ee-48b7-bec2-a3a445957b41,"dexamethasone sodium phosphate 10mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",Prescription Drug,Classification,Drug,SPL
45694322,78da3664-c760-42e4-bf04-ceec74fd7769,"DEXAMETHASONE 2 mg in 1 mL INTRAMUSCULAR INJECTION, SOLUTION",SPL,Non-Standard,Drug,SPL
45693331,49476f92-e4ea-4594-9d2c-274115c1ab40,"DEXAMETHASONE SODIUM PHOSPHATE - dexamethasone sodium phosphate injection, solution",Prescription Drug,Classification,Drug,SPL
45692994,3ac27f10-a0ab-4993-8184-530d3827f1a6,"DEXAMETHASONE 2 mg in 1 mL INTRAMUSCULAR INJECTION, SOLUTION",SPL,Non-Standard,Drug,SPL
45692736,2e792ffd-1a5a-415b-8cd9-7f84ac4c5e51,"DEXAMETHASONE SODIUM PHOSPHATE - dexamethasone sodium phosphate injection, solution",Prescription Drug,Classification,Drug,SPL
45690677,cf1a6da8-ba79-4bff-a13b-6effb67f6c1c,"NEOMYCIN AND POLYMYXIN B SULFATES AND DEXAMETHASONE - neomycin sulfate, polymyxin b sulfate and dexamethasone suspension",Prescription Drug,Classification,Drug,SPL
45688388,66268862-bfda-44ad-b1e9-caa8fa63544a,DEXAMETHASONE SODIUM PHOSPHATE,SPL,Non-Standard,Drug,SPL
45688022,5564ee46-7bd7-4b2a-ad51-d01f7fda0461,DEXAMETHASONE SODIUM PHOSPHATE - dexamethasone injection,Prescription Drug,Classification,Drug,SPL
45687680,45d538ba-0974-4fc6-bfa4-ad1b3fc1611d,Dexamethasone Sodium Phosphate,SPL,Non-Standard,Drug,SPL
45686743,1ae5e09b-90e5-4c8f-bf41-87d71ccfd267,DEXAMETHASONE - dexamethasone tablet,Prescription Drug,Classification,Drug,SPL
45683475,83e37e44-ddae-4829-8cb5-278527d24934,"DEXAMETHASONE SODIUM PHOSPHATE - dexamethasone sodium phosphate injection, solution",Prescription Drug,Classification,Drug,SPL
45680769,0372f916-0a26-4115-8075-2d575bfbc15e,DEXAMETHASONE - dexamethasone tablet,Prescription Drug,Classification,Drug,SPL
45680153,e59d3b87-af2e-4262-b89d-e95aa79f11b7,BAYCADRON - dexamethasone elixir,Prescription Drug,Classification,Drug,SPL
45680120,e41225b3-a9fa-4a58-92f3-2d68656a0687,"DEXAMETHASONE 2 mg in 1 mL INTRAMUSCULAR INJECTION, SOLUTION",SPL,Non-Standard,Drug,SPL
45678055,89e1d458-7caa-430f-9c54-360889899a73,DEXAMETHASONE - dexamethasone tablet,Prescription Drug,Classification,Drug,SPL
45676706,4b204f44-6e8a-4d17-803c-268f0b04679f,OZURDEX - dexamethasone implant,Prescription Drug,Classification,Drug,SPL
45675740,20d1ffa7-0a0a-4a16-a2ec-347c21693e80,DEXAMETHASONE - dexamethasone elixir,Prescription Drug,Classification,Drug,SPL
45675316,0c978be1-8988-47ec-b565-610ee675d53e,"dexamethasone sodium phosphate 4mg/mL / 10mg/mL INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; INTRAVENOUS; SOFT TISSUE, INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",Prescription Drug,Classification,Drug,SPL
45675107,0277cc0a-2fd4-4605-a310-b613be84ee26,DEXAMETHASONE SODIUM PHOSPHATE - dexamethasone sodium phosphate injection,Prescription Drug,Classification,Drug,SPL
45674802,f51b4529-5016-4b52-a945-bb93a5fa0ae8,Dexamethasone,SPL,Non-Standard,Drug,SPL
45674314,e021aa60-bfeb-4125-a946-0ea013aeeed2,"DEXAMETHASONE SODIUM PHOSPHATE - dexamethasone sodium phosphate injection, solution",Prescription Drug,Classification,Drug,SPL
45674144,d7c4676c-f865-4bc5-89bd-358d53e65fd1,dexamethasone 2mg/1 / 4mg/1 / .75mg/1 ORAL TABLET,Prescription Drug,Classification,Drug,SPL
45673776,c6eb10d2-2251-482b-8a57-fea31c05bc7e,DEXAMETHASONE - dexamethasone elixir,Prescription Drug,Classification,Drug,SPL
45673180,ab07d4d7-073d-4c03-a57f-6893e9a7b6a2,"Dexamethasone Sodium Phosphate 4 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION [Dexamethasone SP]",SPL,Non-Standard,Drug,SPL
45672985,a2c2385e-74a8-4a18-92ec-be8a1380e13a,DEXAMETHASONE SODIUM PHOSPHATE - dexamethasone sodium phosphate solution,Prescription Drug,Classification,Drug,SPL
45672677,95984c21-5734-4cba-a173-70eb88e3c8cf,DEXAMETHASONE - dexamethasone tablet,Prescription Drug,Classification,Drug,SPL
45672575,90ee79ae-f897-4374-997e-30df380cd575,"DEXAMETHASONE 2 mg in 1 mL INTRAMUSCULAR INJECTION, SOLUTION",SPL,Non-Standard,Drug,SPL
45671953,736861fa-1df8-4afd-ba4a-dd7d7bffd865,DEXAMETHASONE - dexamethasone tablet,Prescription Drug,Classification,Drug,SPL
45671452,5cd6b7e5-e52b-4ac3-96d8-8d3f5245cf43,DEXAMETHASONE - dexamethasone tablet,Prescription Drug,Non-Standard,Drug,SPL
45670548,330ac1f7-d583-454d-96bf-37c5af31a369,TOBRADEX - tobramycin and dexamethasone suspension,Prescription Drug,Classification,Drug,SPL
45670527,320747b3-5cf1-4e0c-b670-c6a9e72a8845,DEXAMETHASONE - dexamethasone elixir,Prescription Drug,Classification,Drug,SPL
45668303,ce01733f-33b7-483e-9bc4-cf43937e6998,DEXAMETHASONE - dexamethasone elixir,Prescription Drug,Classification,Drug,SPL
45668150,c7700945-e498-4f01-9719-83cee899860d,DEXAMETHASONE SODIUM PHOSPHATE - dexamethasone sodium phosphate solution,Prescription Drug,Classification,Drug,SPL
45667104,94a3b38c-0292-43be-8b2b-9c741e555aaa,"DEXAMETHASONE 2 mg in 1 mL INTRAMUSCULAR INJECTION, SOLUTION",SPL,Non-Standard,Drug,SPL
45666954,8dfbf5a4-bce7-4d53-847f-2317eefe2141,"DEXAMETHASONE 2 mg in 1 mL INTRAMUSCULAR INJECTION, SOLUTION",SPL,Non-Standard,Drug,SPL
45666668,8060a686-f1e1-4171-9b99-28791e502bdb,"NEOMYCIN AND POLYMYXIN B SULFATES AND DEXAMETHASONE - neomycin sulfate, polymyxin b sulfate and dexamethasone suspension",Prescription Drug,Classification,Drug,SPL
45666276,6d3cbd54-93ef-40fe-b15a-7a4f52dc5f71,"DEXAMETHASONE SODIUM PHOSPHATE - dexamethasone sodium phosphate injection, solution",Prescription Drug,Classification,Drug,SPL
45664149,0a340049-35d9-4904-bdac-42512898f2fb,dexamethasone .5mg/5mL ORAL ELIXIR,Prescription Drug,Classification,Drug,SPL
45663766,f9124873-60f0-4947-a483-f4629b8077e2,dexamethasone 10mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION [dexamethasone sodium phosphate],Prescription Drug,Classification,Drug,SPL
45663703,f58b0ecd-d8b2-4759-bd63-6e9c0590e0c8,Dexamethasone Sodium Phosphate,SPL,Non-Standard,Drug,SPL
45663372,e5dcd4ba-535b-4e44-ac39-5fa1ba4a274e,Dexamethasone Sodium Phosphate,SPL,Non-Standard,Drug,SPL
45661096,7a7ee007-cd02-4f3f-8f0f-82c4964da6e6,DEXAMETHASONE SODIUM PHOSPHATE - dexamethasone sodium phosphate injection,Prescription Drug,Classification,Drug,SPL
45660087,4a728c5e-0de6-4f05-b293-5d7799b7edf1,DEXAMETHASONE - dexamethasone tablet,Prescription Drug,Classification,Drug,SPL
45658955,1399ff8e-378e-4624-96e4-867402bdbe05,"DEXAMETHASONE SODIUM PHOSPHATE 4 mg in 1 mL INTRA-ARTICULAR INJECTION, SOLUTION",SPL,Non-Standard,Drug,SPL
